Contract ID,Period,Period_End_Date,Salary,Benefits,Actual_Working_Days,Missed_Days
C0004,2024-05,31-05-2024,1779.78,373.91,13,10
C0004,2024-06,30-06-2024,3259.04,333.37,18,2
C0004,2024-07,31-07-2024,3487.5,237.54,22,1
C0004,2024-08,31-08-2024,2677.67,341.04,20,2
C0004,2024-09,30-09-2024,3284.5,170.56,19,2
C0004,2024-10,31-10-2024,3314.57,427.91,20,3
C0004,2024-11,30-11-2024,2791.82,241.95,19,2
C0004,2024-12,31-12-2024,2835.18,122.06,20,2
C0005,2024-01,31-01-2024,5953.4,290.75,21,2
C0005,2024-02,29-02-2024,6389.65,247.32,21,0
C0005,2024-03,31-03-2024,4259.77,195.21,14,7
C0005,2024-04,30-04-2024,6197.06,211.51,20,2
C0005,2024-05,31-05-2024,5640.06,183.47,21,2
C0005,2024-06,30-06-2024,6393.41,587.14,18,2
C0005,2024-07,31-07-2024,6893.41,432.65,21,2
C0005,2024-08,31-08-2024,6099.21,515.42,17,5
C0005,2024-09,30-09-2024,5441.05,433.95,19,2
C0005,2024-10,31-10-2024,6893.4,348.06,22,1
C0005,2024-11,30-11-2024,6461.25,242.32,19,2
C0005,2024-12,31-12-2024,6099.21,179.0,22,0
C0006,2024-01,31-01-2024,8139.55,1099.77,22,1
C0006,2024-02,29-02-2024,6762.78,328.47,20,1
C0006,2024-03,31-03-2024,6847.32,757.38,18,3
C0006,2024-04,30-04-2024,7683.19,1278.51,21,1
C0006,2024-05,31-05-2024,6694.86,811.23,19,4
C0006,2024-06,30-06-2024,7525.87,671.99,19,1
C0007,2024-01,31-01-2024,8397.53,521.06,23,0
C0007,2024-02,29-02-2024,4730.04,1344.79,12,9
C0008,2024-01,31-01-2024,2961.66,884.03,22,1
C0008,2024-02,29-02-2024,2447.76,501.98,18,3
C0008,2024-03,31-03-2024,3212.68,365.58,21,0
C0008,2024-04,30-04-2024,2555.54,564.24,15,7
C0008,2024-05,31-05-2024,2827.04,533.9,19,4
C0008,2024-06,30-06-2024,3373.32,366.02,18,2
C0008,2024-07,31-07-2024,3429.29,1096.85,22,1
C0008,2024-08,31-08-2024,2927.26,956.79,18,4
C0008,2024-09,30-09-2024,3034.2,1145.26,21,0
C0008,2024-10,31-10-2024,3422.21,602.9,21,2
C0008,2024-11,30-11-2024,1589.34,1101.6,11,10
C0008,2024-12,31-12-2024,2896.28,327.21,22,0
C0009,2024-01,31-01-2024,2465.23,57.93,19,4
C0009,2024-02,29-02-2024,3268.44,57.01,21,0
C0009,2024-03,31-03-2024,3450.02,77.24,19,2
C0009,2024-04,30-04-2024,2978.06,86.33,18,4
C0009,2024-05,31-05-2024,2739.15,122.69,20,3
C0009,2024-06,30-06-2024,2287.9,101.54,16,4
C0009,2024-07,31-07-2024,2984.23,71.48,23,0
C0009,2024-08,31-08-2024,2481.72,49.9,15,7
C0009,2024-09,30-09-2024,2957.16,105.22,19,2
C0009,2024-10,31-10-2024,2018.32,56.6,14,9
C0009,2024-11,30-11-2024,3285.73,39.19,20,1
C0009,2024-12,31-12-2024,3813.18,72.99,22,0
C0010,2024-01,31-01-2024,2582.53,754.51,20,3
C0010,2024-02,29-02-2024,3097.87,419.61,20,1
C0010,2024-03,31-03-2024,3433.47,425.34,19,2
C0010,2024-04,30-04-2024,2665.83,492.14,20,2
C0010,2024-05,31-05-2024,3464.9,635.23,21,2
C0010,2024-06,30-06-2024,2087.19,505.16,11,9
C0010,2024-07,31-07-2024,2008.63,633.16,14,9
C0010,2024-08,31-08-2024,2399.24,471.04,18,4
C0010,2024-09,30-09-2024,2753.66,690.78,20,1
C0010,2024-10,31-10-2024,2840.78,554.5,18,5
C0010,2024-11,30-11-2024,2942.97,553.22,19,2
C0010,2024-12,31-12-2024,1787.67,297.54,12,10
C0011,2024-01,31-01-2024,6260.63,202.0,23,0
C0011,2024-02,29-02-2024,6530.37,296.12,20,1
C0011,2024-03,31-03-2024,5550.81,99.93,20,1
C0011,2024-04,30-04-2024,5310.55,253.21,21,1
C0011,2024-05,31-05-2024,6573.67,253.38,21,2
C0011,2024-06,30-06-2024,5759.78,189.08,20,0
C0011,2024-07,31-07-2024,5689.01,141.9,22,1
C0011,2024-08,31-08-2024,6545.21,297.06,20,2
C0011,2024-09,30-09-2024,5273.27,190.25,19,2
C0011,2024-10,31-10-2024,5689.01,258.17,22,1
C0011,2024-11,30-11-2024,5877.33,229.23,20,1
C0011,2024-12,31-12-2024,6872.47,204.83,22,0
C0012,2024-01,31-01-2024,4495.83,529.26,17,6
C0012,2024-02,29-02-2024,3530.94,267.53,16,5
C0012,2024-03,31-03-2024,3751.63,896.8,16,5
C0012,2024-04,30-04-2024,4524.25,734.77,20,2
C0012,2024-05,31-05-2024,4587.82,349.47,21,2
C0012,2024-06,30-06-2024,4911.7,367.95,19,1
C0012,2024-07,31-07-2024,5818.14,948.93,23,0
C0012,2024-08,31-08-2024,5542.21,334.01,21,1
C0012,2024-09,30-09-2024,5213.66,299.25,21,0
C0012,2024-10,31-10-2024,4553.33,558.76,22,1
C0012,2024-11,30-11-2024,3310.26,349.78,15,6
C0012,2024-12,31-12-2024,3166.97,429.74,14,8
C0013,2024-01,31-01-2024,4002.43,109.47,23,0
C0013,2024-02,29-02-2024,4627.14,36.89,19,2
C0013,2024-03,31-03-2024,3548.63,64.12,18,3
C0013,2024-04,30-04-2024,4649.28,104.42,22,0
C0013,2024-05,31-05-2024,2387.92,69.45,13,10
C0014,2024-08,31-08-2024,7187.86,1018.95,22,0
C0014,2024-09,30-09-2024,5818.74,837.91,21,0
C0014,2024-10,31-10-2024,5978.56,405.67,22,1
C0014,2024-11,30-11-2024,3585.78,438.13,11,10
C0014,2024-12,31-12-2024,5613.66,833.45,21,1
C0015,2024-01,31-01-2024,8413.63,296.79,22,1
C0015,2024-02,29-02-2024,7120.63,262.5,21,0
C0015,2024-03,31-03-2024,6821.44,283.24,18,3
C0016,2024-09,30-09-2024,4808.69,677.83,20,1
C0016,2024-10,31-10-2024,5095.34,400.9,23,0
C0016,2024-11,30-11-2024,3872.26,506.66,17,4
C0016,2024-12,31-12-2024,4162.4,207.51,19,3
C0017,2024-01,31-01-2024,3134.33,831.75,17,6
C0017,2024-02,29-02-2024,3222.66,1064.09,18,3
C0017,2024-03,31-03-2024,2864.59,830.33,17,4
C0017,2024-04,30-04-2024,3828.77,1381.42,21,1
C0017,2024-05,31-05-2024,3871.82,1156.56,21,2
C0017,2024-06,30-06-2024,3483.32,1218.95,15,5
C0017,2024-07,31-07-2024,3318.7,1389.84,18,5
C0017,2024-08,31-08-2024,4644.42,758.2,22,0
C0017,2024-09,30-09-2024,3801.89,727.79,19,2
C0017,2024-10,31-10-2024,3336.26,1346.02,19,4
C0017,2024-11,30-11-2024,3201.6,487.49,19,2
C0017,2024-12,31-12-2024,4030.28,528.34,20,2
C0018,2024-01,31-01-2024,6107.49,653.87,21,2
C0018,2024-02,29-02-2024,7733.24,507.6,21,0
C0018,2024-03,31-03-2024,6977.35,790.18,20,1
C0018,2024-04,30-04-2024,7381.72,438.98,19,3
C0018,2024-05,31-05-2024,7820.18,1049.94,22,1
C0018,2024-06,30-06-2024,6901.91,904.68,19,1
C0018,2024-07,31-07-2024,5525.83,1011.0,18,5
C0018,2024-08,31-08-2024,8547.26,714.63,22,0
C0018,2024-09,30-09-2024,8140.25,335.97,21,0
C0018,2024-10,31-10-2024,4653.33,707.5,16,7
C0018,2024-11,30-11-2024,8140.25,938.01,21,0
C0018,2024-12,31-12-2024,6357.46,1021.22,20,2
C0019,2024-01,31-01-2024,4892.09,175.83,23,0
C0019,2024-02,29-02-2024,4215.4,405.81,19,2
C0019,2024-03,31-03-2024,4437.27,127.05,20,1
C0019,2024-04,30-04-2024,4892.09,433.92,22,0
C0019,2024-05,31-05-2024,3662.13,184.63,22,1
C0019,2024-06,30-06-2024,4402.88,401.14,20,0
C0019,2024-07,31-07-2024,3514.17,253.23,20,3
C0019,2024-08,31-08-2024,3780.25,351.79,17,5
C0019,2024-09,30-09-2024,4215.4,244.74,19,2
C0019,2024-10,31-10-2024,3865.58,270.27,22,1
C0019,2024-11,30-11-2024,3993.54,319.09,20,1
C0019,2024-12,31-12-2024,4447.35,234.96,22,0
C0020,2024-01,31-01-2024,6519.69,735.01,15,8
C0020,2024-02,29-02-2024,7944.81,287.76,20,1
C0020,2024-03,31-03-2024,9906.18,488.9,19,2
C0020,2024-04,30-04-2024,10451.26,806.23,22,0
C0020,2024-05,31-05-2024,10017.56,808.46,22,1
C0020,2024-06,30-06-2024,7801.12,379.25,19,1
C0021,2024-01,31-01-2024,3147.32,646.02,21,2
C0021,2024-02,29-02-2024,2941.84,907.89,20,1
C0021,2024-03,31-03-2024,2222.72,367.0,17,4
C0021,2024-04,30-04-2024,3127.22,1051.69,20,2
C0021,2024-05,31-05-2024,2847.57,1216.29,22,1
C0021,2024-06,30-06-2024,3423.56,628.12,20,0
C0021,2024-07,31-07-2024,2718.14,1121.79,19,4
C0021,2024-08,31-08-2024,2658.14,1046.72,21,1
C0021,2024-09,30-09-2024,2941.84,1317.76,20,1
C0021,2024-10,31-10-2024,3147.32,849.68,22,1
C0021,2024-11,30-11-2024,3268.7,857.94,20,1
C0021,2024-12,31-12-2024,1772.09,915.78,14,8
C0022,2024-01,31-01-2024,5179.94,140.25,23,0
C0022,2024-02,29-02-2024,6270.45,65.41,21,0
C0022,2024-03,31-03-2024,4549.99,249.57,20,1
C0022,2024-04,30-04-2024,5700.41,171.8,22,0
C0022,2024-05,31-05-2024,4729.51,180.94,21,2
C0022,2024-06,30-06-2024,5079.06,195.41,18,2
C0022,2024-07,31-07-2024,5452.57,76.26,23,0
C0022,2024-08,31-08-2024,5700.41,186.99,22,0
C0022,2024-09,30-09-2024,4052.33,114.14,15,6
C0022,2024-10,31-10-2024,4267.23,246.82,20,3
C0022,2024-11,30-11-2024,3867.49,121.37,17,4
C0022,2024-12,31-12-2024,3264.78,163.32,12,10
C0023,2024-01,31-01-2024,1513.08,1174.6,23,0
C0023,2024-02,29-02-2024,1219.57,702.49,20,1
C0023,2024-03,31-03-2024,1431.21,966.04,21,0
C0023,2024-04,30-04-2024,1000.1,341.79,18,4
C0023,2024-05,31-05-2024,1196.11,1267.75,20,3
C0023,2024-06,30-06-2024,1423.67,1181.48,20,0
C0023,2024-07,31-07-2024,897.08,687.42,15,8
C0023,2024-08,31-08-2024,1438.05,872.94,20,2
C0023,2024-09,30-09-2024,1097.61,1094.89,18,3
C0023,2024-10,31-10-2024,1444.31,1009.67,23,0
C0023,2024-11,30-11-2024,1147.83,971.34,16,5
C0023,2024-12,31-12-2024,1166.79,1065.25,21,1
C0024,2024-01,31-01-2024,3415.29,639.85,20,3
C0024,2024-02,29-02-2024,4324.39,1090.19,20,1
C0024,2024-03,31-03-2024,3459.51,1118.93,19,2
C0024,2024-04,30-04-2024,4137.21,580.0,19,3
C0024,2024-05,31-05-2024,3984.49,426.62,21,2
C0024,2024-06,30-06-2024,4290.87,978.99,19,1
C0024,2024-07,31-07-2024,4145.78,1013.89,23,0
C0024,2024-08,31-08-2024,3919.46,1184.07,18,4
C0024,2024-09,30-09-2024,3891.95,913.56,18,3
C0024,2024-10,31-10-2024,4382.95,636.88,21,2
C0024,2024-11,30-11-2024,2913.27,1114.25,16,5
C0024,2024-12,31-12-2024,4334.22,1037.17,22,0
C0025,2024-01,31-01-2024,6062.92,743.17,18,5
C0025,2024-02,29-02-2024,6868.7,661.34,21,0
C0025,2024-03,31-03-2024,7676.79,847.38,19,2
C0025,2024-04,30-04-2024,5662.42,966.54,19,3
C0025,2024-05,31-05-2024,5790.24,426.45,19,4
C0026,2024-01,31-01-2024,1855.9,668.72,19,4
C0026,2024-02,29-02-2024,1789.51,573.44,21,0
C0026,2024-03,31-03-2024,2023.85,598.65,20,1
C0026,2024-04,30-04-2024,2140.06,377.5,21,1
C0026,2024-05,31-05-2024,1269.82,542.16,13,10
C0026,2024-06,30-06-2024,1785.03,983.4,19,1
C0026,2024-07,31-07-2024,2042.37,382.2,23,0
C0026,2024-08,31-08-2024,989.96,411.98,12,10
C0026,2024-09,30-09-2024,2236.89,658.38,20,1
C0026,2024-10,31-10-2024,1038.95,1058.63,13,10
C0026,2024-11,30-11-2024,2023.85,776.21,20,1
C0027,2024-01,31-01-2024,1082.3,445.7,22,1
C0027,2024-02,29-02-2024,872.36,621.14,17,4
C0027,2024-03,31-03-2024,821.04,516.2,16,5
C0027,2024-04,30-04-2024,1080.07,467.0,22,0
C0027,2024-05,31-05-2024,1131.5,262.6,23,0
C0027,2024-06,30-06-2024,961.77,548.67,20,0
C0027,2024-07,31-07-2024,941.13,432.63,22,1
C0027,2024-08,31-08-2024,888.36,406.7,20,2
C0027,2024-09,30-09-2024,1131.5,492.08,21,0
C0027,2024-10,31-10-2024,770.02,400.9,20,3
C0027,2024-11,30-11-2024,1131.5,695.37,21,0
C0027,2024-12,31-12-2024,883.69,297.32,21,1
C0028,2024-01,31-01-2024,5550.21,156.2,23,0
C0028,2024-02,29-02-2024,4888.77,269.46,19,2
C0028,2024-03,31-03-2024,4116.86,560.22,16,5
C0028,2024-04,30-04-2024,4981.93,213.97,17,5
C0028,2024-05,31-05-2024,5362.52,387.27,20,3
C0028,2024-06,30-06-2024,5106.19,231.6,16,4
C0028,2024-07,31-07-2024,6475.24,292.32,21,2
C0028,2024-08,31-08-2024,6447.21,365.32,22,0
C0028,2024-09,30-09-2024,5194.32,430.33,19,2
C0028,2024-10,31-10-2024,6193.71,355.02,22,1
C0028,2024-11,30-11-2024,4374.16,615.06,17,4
C0028,2024-12,31-12-2024,5861.1,615.37,20,2
C0029,2024-01,31-01-2024,3890.53,194.97,18,5
C0029,2024-02,29-02-2024,4926.14,140.25,19,2
C0029,2024-03,31-03-2024,4666.87,99.22,20,1
C0029,2024-04,30-04-2024,4216.81,298.54,17,5
C0029,2024-05,31-05-2024,4992.84,153.29,21,2
C0029,2024-06,30-06-2024,4001.84,259.84,14,6
C0029,2024-07,31-07-2024,3328.56,128.51,14,9
C0029,2024-08,31-08-2024,4216.81,276.97,21,1
C0029,2024-09,30-09-2024,5716.91,199.45,21,0
C0029,2024-10,31-10-2024,4085.05,165.84,21,2
C0029,2024-11,30-11-2024,4627.97,269.25,21,0
C0029,2024-12,31-12-2024,4677.47,373.84,22,0
C0030,2024-01,31-01-2024,6079.13,303.0,22,1
C0030,2024-02,29-02-2024,7347.44,261.9,19,2
C0030,2024-03,31-03-2024,6574.02,514.85,17,4
C0030,2024-04,30-04-2024,6375.87,313.62,20,2
C0030,2024-05,31-05-2024,7414.69,554.4,23,0
C0030,2024-06,30-06-2024,7329.07,369.84,19,1
C0030,2024-07,31-07-2024,4144.86,661.42,15,8
C0030,2024-08,31-08-2024,6711.45,517.66,20,2
C0030,2024-09,30-09-2024,6187.31,683.5,16,5
C0030,2024-10,31-10-2024,7414.69,656.26,23,0
C0030,2024-11,30-11-2024,5598.04,322.93,19,2
C0030,2024-12,31-12-2024,7382.59,579.93,20,2
C0031,2024-01,31-01-2024,2429.62,393.73,15,8
C0031,2024-02,29-02-2024,4294.97,975.96,20,1
C0031,2024-03,31-03-2024,3865.47,464.35,21,0
C0031,2024-04,30-04-2024,2935.04,970.02,15,7
C0031,2024-05,31-05-2024,3401.47,1140.38,21,2
C0031,2024-06,30-06-2024,3449.94,904.98,17,3
C0031,2024-07,31-07-2024,4117.57,430.95,23,0
C0031,2024-08,31-08-2024,3689.77,724.22,22,0
C0031,2024-09,30-09-2024,3067.84,891.68,15,6
C0031,2024-10,31-10-2024,3921.5,579.54,23,0
C0031,2024-11,30-11-2024,4509.72,302.09,21,0
C0031,2024-12,31-12-2024,4304.73,1082.56,21,1
C0032,2024-01,31-01-2024,1456.72,842.47,21,2
C0032,2024-02,29-02-2024,1839.36,1078.17,21,0
C0032,2024-03,31-03-2024,1414.56,343.24,19,2
C0032,2024-04,30-04-2024,1492.39,365.3,22,0
C0032,2024-05,31-05-2024,1763.39,821.73,23,0
C0032,2024-06,30-06-2024,984.98,1111.13,12,8
C0032,2024-07,31-07-2024,1686.72,502.16,22,1
C0032,2024-08,31-08-2024,1843.54,364.05,21,1
C0032,2024-09,30-09-2024,1751.77,1014.88,20,1
C0032,2024-10,31-10-2024,996.7,582.92,13,10
C0032,2024-11,30-11-2024,1331.35,542.99,19,2
C0032,2024-12,31-12-2024,1356.72,377.58,20,2
C0033,2024-01,31-01-2024,8210.84,330.66,21,2
C0033,2024-02,29-02-2024,8564.6,960.81,21,0
C0033,2024-03,31-03-2024,8564.6,638.17,21,0
C0033,2024-04,30-04-2024,7060.48,1242.05,20,2
C0033,2024-05,31-05-2024,7853.85,1168.19,22,1
C0033,2024-06,30-06-2024,8093.55,680.54,18,2
C0033,2024-07,31-07-2024,7496.85,497.62,21,2
C0033,2024-08,31-08-2024,6001.41,707.18,17,5
C0033,2024-09,30-09-2024,5138.76,583.38,14,7
C0033,2024-10,31-10-2024,7819.85,986.4,23,0
C0033,2024-11,30-11-2024,5505.81,1092.44,15,6
C0033,2024-12,31-12-2024,3790.37,1175.56,12,10
C0034,2024-01,31-01-2024,10230.69,421.56,23,0
C0034,2024-02,29-02-2024,8149.12,1000.79,21,0
C0034,2024-03,31-03-2024,10186.4,412.73,21,0
C0034,2024-04,30-04-2024,8353.27,770.61,21,1
C0034,2024-05,31-05-2024,8451.43,955.44,22,1
C0034,2024-06,30-06-2024,9144.84,892.11,18,2
C0034,2024-07,31-07-2024,8491.88,892.14,20,3
C0034,2024-08,31-08-2024,7889.19,1145.79,21,1
C0034,2024-09,30-09-2024,6208.85,1234.08,16,5
C0034,2024-10,31-10-2024,9785.88,771.0,22,1
C0034,2024-11,30-11-2024,7421.52,421.44,17,4
C0034,2024-12,31-12-2024,8397.46,730.96,20,2
C0035,2024-01,31-01-2024,10419.31,203.03,20,3
C0035,2024-02,29-02-2024,6711.13,117.97,13,8
C0035,2024-03,31-03-2024,7390.39,292.84,17,4
C0035,2024-04,30-04-2024,8838.12,310.53,21,1
C0035,2024-05,31-05-2024,9467.99,190.18,22,1
C0035,2024-06,30-06-2024,8087.99,411.71,18,2
C0035,2024-07,31-07-2024,7746.53,292.26,18,5
C0035,2024-08,31-08-2024,9258.98,324.72,22,0
C0035,2024-09,30-09-2024,8314.19,339.56,17,4
C0035,2024-10,31-10-2024,9467.98,278.21,19,4
C0035,2024-11,30-11-2024,7825.11,344.54,18,3
C0035,2024-12,31-12-2024,10348.27,164.48,22,0
C0036,2024-01,31-01-2024,3505.39,881.22,23,0
C0036,2024-02,29-02-2024,2453.65,278.95,15,6
C0036,2024-03,31-03-2024,3079.09,911.64,20,1
C0036,2024-04,30-04-2024,3471.85,850.14,22,0
C0036,2024-05,31-05-2024,3529.46,864.93,22,1
C0036,2024-06,30-06-2024,4031.2,780.09,19,1
C0036,2024-07,31-07-2024,2189.87,412.94,13,10
C0036,2024-08,31-08-2024,2104.15,275.92,12,10
C0036,2024-09,30-09-2024,3656.41,635.59,19,2
C0036,2024-10,31-10-2024,3529.46,529.72,22,1
C0036,2024-11,30-11-2024,3656.41,296.4,19,2
C0036,2024-12,31-12-2024,2998.42,815.92,18,4
C0037,2024-01,31-01-2024,7745.07,199.61,21,2
C0037,2024-02,29-02-2024,6370.68,369.71,16,5
C0037,2024-03,31-03-2024,5109.82,622.5,11,10
C0037,2024-04,30-04-2024,7195.4,467.45,21,1
C0037,2024-05,31-05-2024,8906.84,349.04,21,2
C0037,2024-06,30-06-2024,7316.33,421.85,15,5
C0037,2024-07,31-07-2024,8482.7,549.19,20,3
C0037,2024-08,31-08-2024,7255.86,614.21,20,2
C0037,2024-09,30-09-2024,6370.68,302.22,18,3
C0037,2024-10,31-10-2024,7007.45,424.32,20,3
C0037,2024-11,30-11-2024,6370.68,476.02,18,3
C0037,2024-12,31-12-2024,8868.28,330.05,22,0
C0038,2024-01,31-01-2024,4313.45,811.7,21,2
C0039,2024-01,31-01-2024,1873.42,584.14,19,4
C0039,2024-02,29-02-2024,1910.18,819.42,19,2
C0039,2024-03,31-03-2024,1987.06,869.65,21,0
C0039,2024-04,30-04-2024,1832.07,689.99,20,2
C0039,2024-05,31-05-2024,2381.23,959.34,21,2
C0039,2024-06,30-06-2024,1982.09,294.59,16,4
C0040,2024-01,31-01-2024,8803.99,766.99,20,3
C0041,2024-01,31-01-2024,669.93,1094.13,13,10
C0041,2024-02,29-02-2024,950.79,1285.88,17,4
C0041,2024-03,31-03-2024,1174.51,1527.77,19,2
C0041,2024-04,30-04-2024,1019.2,588.38,20,2
C0041,2024-05,31-05-2024,1015.94,1336.07,23,0
C0041,2024-06,30-06-2024,993.08,546.79,18,2
C0041,2024-07,31-07-2024,1025.75,657.27,22,1
C0041,2024-08,31-08-2024,1239.13,1569.18,21,1
C0041,2024-09,30-09-2024,1006.72,681.7,19,2
C0041,2024-10,31-10-2024,1133.73,1304.12,21,2
C0041,2024-11,30-11-2024,1174.51,1354.25,19,2
C0041,2024-12,31-12-2024,1121.12,1564.72,19,3
C0042,2024-01,31-01-2024,8497.89,515.36,21,2
C0042,2024-02,29-02-2024,9708.2,441.91,20,1
C0042,2024-03,31-03-2024,8710.41,720.68,19,2
C0042,2024-04,30-04-2024,10835.97,724.96,21,1
C0042,2024-05,31-05-2024,11892.54,482.69,23,0
C0042,2024-06,30-06-2024,11892.54,495.47,20,0
C0042,2024-07,31-07-2024,9442.09,655.08,21,2
C0042,2024-08,31-08-2024,10270.83,702.89,22,0
C0042,2024-09,30-09-2024,9708.2,572.93,18,3
C0042,2024-10,31-10-2024,10880.88,594.54,22,1
C0042,2024-11,30-11-2024,10247.54,244.16,19,2
C0042,2024-12,31-12-2024,5847.98,521.92,14,8
C0043,2024-01,31-01-2024,2632.3,697.27,18,5
C0043,2024-02,29-02-2024,2105.04,626.13,14,7
C0043,2024-03,31-03-2024,2272.11,1040.15,16,5
C0043,2024-04,30-04-2024,3516.37,505.34,22,0
C0043,2024-05,31-05-2024,3217.25,1085.59,22,1
C0043,2024-06,30-06-2024,3131.25,947.63,20,0
C0043,2024-07,31-07-2024,3370.45,621.2,22,1
C0043,2024-08,31-08-2024,2846.59,1015.61,22,0
C0044,2024-01,31-01-2024,4330.09,548.23,23,0
C0044,2024-02,29-02-2024,3803.5,764.05,20,1
C0044,2024-03,31-03-2024,4516.65,906.32,20,1
C0044,2024-04,30-04-2024,4093.72,837.57,21,1
C0044,2024-05,31-05-2024,4795.8,470.89,22,1
C0044,2024-06,30-06-2024,3538.14,541.01,18,2
C0044,2024-07,31-07-2024,4369.73,1087.82,21,2
C0044,2024-08,31-08-2024,5003.43,1139.98,22,0
C0044,2024-09,30-09-2024,3613.32,1134.64,19,2
C0044,2024-10,31-10-2024,4577.81,725.98,21,2
C0044,2024-11,30-11-2024,3613.32,841.29,19,2
C0045,2024-01,31-01-2024,2792.7,132.66,21,2
C0045,2024-02,29-02-2024,2862.54,264.76,17,4
C0045,2024-03,31-03-2024,2862.54,267.23,19,2
C0045,2024-04,30-04-2024,1647.3,308.47,12,10
C0045,2024-05,31-05-2024,2526.73,319.62,19,4
C0045,2024-06,30-06-2024,3126.64,183.07,20,0
C0045,2024-07,31-07-2024,3250.76,337.49,22,1
C0045,2024-08,31-08-2024,3197.7,130.01,22,0
C0045,2024-09,30-09-2024,3030.93,141.5,19,2
C0045,2024-10,31-10-2024,3058.67,115.27,23,0
C0045,2024-11,30-11-2024,3367.7,320.31,20,1
C0045,2024-12,31-12-2024,3561.08,389.29,21,1
C0046,2024-01,31-01-2024,3608.01,275.38,23,0
C0046,2024-02,29-02-2024,4610.23,482.92,21,0
C0046,2024-03,31-03-2024,4171.16,253.42,21,0
C0046,2024-04,30-04-2024,3600.56,172.45,21,1
C0046,2024-05,31-05-2024,3660.3,205.54,21,2
C0046,2024-06,30-06-2024,2247.49,505.98,13,7
C0046,2024-07,31-07-2024,2875.95,507.35,15,8
C0046,2024-08,31-08-2024,3429.1,340.62,20,2
C0046,2024-09,30-09-2024,3732.09,527.11,21,0
C0046,2024-10,31-10-2024,3294.27,292.87,21,2
C0046,2024-11,30-11-2024,3178.03,179.37,19,2
C0046,2024-12,31-12-2024,3619.6,339.99,20,2
C0047,2024-02,29-02-2024,6496.37,762.18,21,0
C0047,2024-03,31-03-2024,6573.71,456.77,20,1
C0047,2024-04,30-04-2024,6289.17,689.84,21,1
C0047,2024-05,31-05-2024,6737.38,1418.42,22,1
C0047,2024-06,30-06-2024,7247.52,1372.56,20,0
C0047,2024-07,31-07-2024,5222.28,1224.66,18,5
C0047,2024-08,31-08-2024,6289.17,827.18,21,1
C0047,2024-09,30-09-2024,5258.97,1038.22,16,5
C0047,2024-10,31-10-2024,7043.62,625.1,23,0
C0047,2024-11,30-11-2024,6496.37,1531.03,21,0
C0047,2024-12,31-12-2024,4228.01,922.83,12,10
C0048,2024-01,31-01-2024,1370.82,484.88,13,10
C0048,2024-02,29-02-2024,2670.34,1270.35,19,2
C0048,2024-03,31-03-2024,2656.29,844.83,18,3
C0048,2024-04,30-04-2024,2676.41,728.2,22,0
C0048,2024-05,31-05-2024,1845.34,550.98,15,8
C0048,2024-06,30-06-2024,2107.32,1402.25,17,3
C0048,2024-07,31-07-2024,2560.04,789.38,19,4
C0048,2024-08,31-08-2024,2285.83,1511.02,21,1
